270,180
480,180
480,180
480,180
510,300
510,300
510,300
330,330
330,330
330,330
330,330
330,330
450,420
450,420
450,420
420,90
420,90
390,90
390,90
390,120
390,150
390,180
390,180
420,180
420,180
420,180
420,180
390,210
390,210
390,240
390,270
390,270
390,270
360,270
360,240
360,240
660,150
660,150
660,150
660,150
660,180
660,210
630,240
660,300
660,330
690,330
690,360
720,390
750,390
750,390
750,420
780,420
780,420
780,390
780,390
660,120
660,120
660,120
630,120
660,120
660,150
690,150
750,180
780,180
780,180
780,180
780,150
750,150
750,150
300,90
300,90
270,90
270,120
270,150
270,180
300,180
300,180
330,180
330,180
330,180
330,180
150,210
